Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
Aprender a leer en la Escuela de Monstruos 1 - La mascota más grandota: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.7,1020.0,,0.0,,0.0,0.0,3.32
Encuentra tu persona vitamina (F. COLECCION),4.6,4090.0, 13 anos ou mais,328.0,Español,0.0,0.0,8.54
Tu cuerpo es tuyo (11ªED) (ESPAÑOL SOMOS8),4.7,571.0, 3 - 6 anos,40.0,Español,,,
My Hero Academia nº 35 (Manga Shonen),,,9 anos ou mais,192.0,Español,0.0,7.7,0.0
Animales de la granja (Mi primer libro de pegatinas),4.5,102.0, 1 - 2 anos,8.0,Español,,,
Tengo un volcán 5 (Calita): 4,4.7,1005.0, 3 - 4 anos,26.0,,0.0,0.0,7.59
El Principito (Biblioteca Saint-Exupéry),4.7,4852.0, 7 anos ou mais,96.0,Español,0.0,0.0,1.49
Las 48 leyes del poder (FUERA DE COLECCIÓN Y ONE SHOT) (Edición en Español),4.6,3879.0,,0.0,,0.0,0.0,6.64
El caso del castillo encantado (Serie Los BuscaPistas 1),4.6,3189.0, 6 - 8 anos,96.0,,,,
Nos tratamos bien: Un cuento sobre el respeto (Cuentos infantiles),5.0,1.0,4 - 8 anos,36.0,Español,0.0,0.0,5.69
Unicornia 1 - Un lío con brilli-brilli (Montena),4.8,314.0, 6 - 7 anos,128.0,,0.0,0.0,5.69
Dinosaurios (Mi primer libro de pegatinas),4.6,432.0, 2 - 3 anos,8.0,Español,,,
Pokémon. Aventuras para colorear (Colección Pokémon),4.7,383.0, 5 - 8 anos,96.0,Español,,,
Aprender a leer en la Escuela de Monstruos 2 - Una liada de mermelada: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.8,674.0, 5 - 6 anos,48.0,,0.0,0.0,3.32
Pack ¿Puedo mirar tu pañal? con muñeco (Ratón fisgón),4.8,278.0,0 - 2 anos,32.0,,19.04,0.0,0.0
Animales salvajes (Mi primer libro de pegatinas),4.5,79.0,5 anos ou mais,8.0,Español,,,
Luna (De la cuna a la luna),4.7,1561.0, 0 - 2 anos,16.0,,,,
Hogwarts Legacy: La guía oficial del videojuego (Harry Potter),2.3,9.0,9 anos ou mais,176.0,Español,0.0,17.37,0.0
"De mayor quiero ser... feliz: 6 cuentos para potenciar la positividad y autoestima de los niños (Emociones, valores y hábitos)",4.8,2829.0, 4 - 6 anos,120.0,,0.0,0.0,0.0
Harry Potter y la piedra filosofal,4.7,8809.0, 8 anos ou mais,314.0,,0.0,0.0,0.0
Kaiju 8 nº 06 (Manga Shonen),,,9 anos ou mais,0.0,,0.0,7.7,0.0
El monstruo de colores (edición pop-up) (POP UP Cuentos flamboyant) Edición en Español,4.9,3319.0, 2 - 4 anos,22.0,Inglés,,,
Cuentos para 1 año (6 cuentos),4.6,393.0, 1 - 2 anos,48.0,,5.76,0.0,0.0
Mi libro de olores y colores. Las frutas,4.7,271.0, 1 - 2 anos,16.0,,10.6,0.0,0.0
"Adiós, enfado. ¡Hola, calma!: El bosque de las emociones/ The Forest of Emotions",4.7,313.0, 3 - 5 anos,32.0,,,,
Cuentos Clásicos (Cuentos clásicos con pictogramas),4.5,2168.0, 2 - 4 anos,24.0,Español,1.99,0.0,0.0
ARTA en el apocalipsis máximo (Arta Game 1) (Lo más visto),4.7,1407.0, 8 - 11 anos,160.0,,0.0,0.0,6.64
1 Curiosidad por día - 366 curiosidades del mundo para leer en familia: Libro para niños y niñas a partir de 6 años que quieren aprender cada día algo ... (Un día sin una sonrisa es un día perdido),4.4,412.0, 6 - 9 anos,,Español,,,
Aprender a leer en la Escuela de Monstruos 7 - Pedos como truenos: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.8,174.0, 4 - 6 anos,48.0,,0.0,0.0,3.32
"Pensar rápido, pensar despacio: 320 (Ensayo | Psicología)",4.5,3643.0,1 ano ou mais,672.0,Español,,,
El hilo invisible: Un cuento sobre los vínculos que nos unen (B de Blok),4.8,824.0, 3 - 6 anos,64.0,Español,0.0,0.0,8.54
Un beso antes de dormir [Español],4.5,1679.0, 1 - 2 anos,0.0,,185.11,9.64,0.0
Aprender a leer en la Escuela de Monstruos 3 - Las iguales son especiales: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.8,253.0, 5 - 6 anos,48.0,,0.0,0.0,3.32
Las madres (La novia gitana 4) (Alfaguara Negra),4.4,7869.0, 13 anos ou mais,464.0,,0.0,0.0,0.0
25 Cuentos Clásicos,4.6,843.0, 2 - 5 anos,464.0,Español,,,
Policán: 1,4.7,420.0, 6 - 9 anos,232.0,,12.09,0.0,6.64
