,Palavra,frequência
30,o,18853
26,a,18683
70,não,12004
514,disse,8684
39,e,6908
569,ainda,6054
366,casa,5680
2401,em,5633
58,mas,5586
345,dia,5432
1213,tudo,5343
56,tempo,5177
90,dois,5031
427,os,4713
959,nada,4663
658,é,4600
222,anos,4539
59,outro,4481
186,coisa,4344
28,de,4323
1101,que,4281
409,pode,4261
662,porque,4261
92,olhos,4159
1314,todos,4136
162,outra,4135
461,tão,4083
833,sobre,4077
481,lo,4041
443,bem,4019
842,assim,3990
972,d,3969
164,vez,3834
422,homem,3721
1533,pouco,3650
464,agora,3641
128,dias,3589
766,duas,3578
1427,menos,3551
113,ter,3522
148,vida,3516
1089,onde,3482
239,grande,3446
267,dizer,3300
775,então,3188
259,outros,3102
2303,vai,3082
378,fazer,3049
552,la,3024
1318,três,2990
136,alguns,2989
299,antes,2978
778,um,2918
198,segundo,2902
296,ver,2891
784,alguma,2879
75,se,2800
1360,hoje,2781
1050,aqui,2728
51,era,2724
314,noite,2688
872,as,2687
610,lá,2683
4111,sr,2676
1127,ia,2652
146,amor,2642
744,melhor,2621
3328,são,2606
380,podia,2565
510,parte,2555
44,primeiro,2552
36,moça,2549
577,havia,2518
826,fez,2513
906,verdade,2466
1344,sempre,2440
338,todas,2416
417,mundo,2408
555,coração,2360
159,caso,2354
184,página,2352
2271,pai,2338
487,apenas,2325
518,dar,2316
100506,»,2310
799,eu,2305
579,mesma,2299
27,mulher,2296
1108,logo,2275
6041,paulo,2246
663,mal,2242
894,primeira,2223
1054,vezes,2222
2463,ano,2203
887,mão,2202
359,toda,2200
728,todo,2198
1216,ir,2190
1578,coisas,2188
2021,senhor,2168
1160,meio,2164
189,nunca,2159
212,si,2144
1078,quando,2119
1620,mim,2118
2062,diz,2105
540,deu,2087
1867,sei,2081
321,rua,2080
265,nome,2063
2126,idéia,2060
275,outras,2039
405,algum,2007
640,pois,2005
573,fim,1995
71355,editoria,1993
459,contra,1989
215,para,1981
334,palavras,1972
315,ontem,1954
224,mil,1945
1145,parece,1938
1030,talvez,1936
228,brasil,1928
12,rio,1927
112,tal,1902
34,uma,1898
680,desde,1892
43,capítulo,1884
946,amigo,1882
219,algumas,1874
566,alma,1861
14,nova,1860
1151,sim,1855
301,livro,1848
788,por,1843
853,ali,1826
2717,governo,1823
1703,como,1808
413,tanto,1799
1568,carta,1791
410,espírito,1774
5876,terra,1774
196,mãe,1763
868,maior,1762
287,pessoas,1750
1317,há,1723
205,já,1688
100,deve,1687
1555,horas,1685
243,cada,1683
933,cabeça,1682
532,no,1678
1499,com,1667
395,certo,1665
179,bom,1665
379,ninguém,1660
1084,dizia,1638
665,porta,1637
1817,faz,1627
177,boa,1618
66232,us$,1607
266,quer,1605
820,deus,1603
391,homens,1600
114,poeta,1599
150,morte,1590
795,respondeu,1566
1428,filho,1551
2358,josé,1547
839,durante,1544
3454,novo,1543
824,mãos,1539
968,ficou,1535
1226,cinco,1535
3377,estado,1534
843,lugar,1522
263,quatro,1519
1308,modo,1511
1275,porém,1504
790,perguntou,1503
408,quase,1498
1868,razão,1493
60,lado,1474
2504,velho,1473
1514,marido,1466
1080,gente,1463
1512,foi,1462
2279,ele,1451
1085,história,1439
1469,cidade,1430
57,saber,1413
10234,presidente,1412
1136,pé,1406
893,além,1396
536,viu,1392
6,obra,1390
8549,semana,1385
2246,tarde,1373
936,ponto,1369
1185,palavra,1357
1730,trabalho,1355
1171,ora,1353
2741,país,1351
2267,política,1350
1828,filha,1346
905,falar,1346
1215,preciso,1337
1150,creio,1335
1272,hora,1331
1595,qualquer,1329
467,quanto,1317
686,senhora,1317
1135,ao,1311
1406,meses,1308
2059,sabe,1296
1263,próprio,1279
646,sala,1279
62,autor,1275
2343,dinheiro,1266
2748,dá,1255
13,janeiro,1252
207,passado,1236
697,aí,1233
24,luís,1230
961,céu,1214
76,rapaz,1214
2000,voz,1214
1756,pessoa,1209
1217,vê,1205
439,parecia,1200
253,deste,1195
197,família,1195
1872,simples,1181
67,papel,1170
951,ar,1151
317,quem,1143
14121,milhões,1138
556,chegou,1137
353,longe,1136
1734,casamento,1136
647,têm,1136
628,veio,1135
2118,depois,1131
2222,vão,1129
837,olhar,1125
698,vem,1125
381,uns,1119
3413,joão,1119
1929,nenhum,1109
520,enquanto,1109
601,nenhuma,1102
1331,nem,1102
582,ambos,1099
73,vou,1098
3368,teatro,1094
91,grandes,1090
211,diante,1080
1096,dentro,1076
1964,minutos,1074
479,entrou,1074
888,saiu,1071
942,situação,1061
2147,padre,1060
3881,exemplo,1060
5000,folha,1055
794,mar,1053
2610,público,1051
8706,maria,1045
1432,mês,1043
249,forma,1030
163,desta,1030
600,queria,1029
1525,causa,1027
780,amigos,1027
48,vi,1024
533,seguinte,1015
35,viúva,1010
694,ah,1009
1556,dez,1002
3606,própria,995
1242,força,990
1235,último,983
2709,muita,978
1728,muitas,978
525,devia,978
1905,quis,977
578,feito,968
2455,muitos,960
960,podem,960
1368,ocasião,958
1298,arte,955
370,fazia,950
895,água,949
815,pobre,948
318,achou,946
473,na,945
2627,esta,945
2119,posso,943
251,última,936
4837,pedro,933
3349,notícia,932
1114,sair,929
9263,nacional,927
1223,digo,927
2354,gosto,924
2472,enfim,923
1430,jorge,915
72,possível,912
257,mais,911
703,vinte,904
300,entrar,900
208,segunda,897
54,leitor,893
897,triste,891
1218,quero,886
1409,deixou,885
4487,real,884
261,dizendo,881
1720,passou,879
2393,embora,873
294,apesar,871
1890,jantar,871
2230,lei,866
1153,momento,866
89,rosto,865
1574,entretanto,865
4706,sendo,863
810,gesto,862
1794,manhã,862
1326,respeito,860
752,natureza,858
1521,resposta,858
1119,natural,856
194,sol,854
1522,demais,854
2490,vamos,853
2100,começou,850
513,comigo,847
1320,ficar,846
66474,eua,845
3891,los,836
1281,silêncio,835
1473,neste,834
1500,efeito,833
66594,r$,832
1918,luz,829
27624,mercado,825
603,número,824
7226,helena,823
1977,seis,822
3033,falta,820
739,naturalmente,819
2901,este,815
1029,opinião,815
1930,direito,814
2382,daí,811
512,fica,810
664,médico,809
1324,século,808
178,mesa,808
643,voltou,807
47,v,806
2238,programa,806
1058,empresa,803
2442,sido,800
2191,idéias,799
2024,oh,799
2376,volta,796
594,câmara,796
2088,vista,795
4567,grupo,792
709,mulheres,790
652,deixar,789
1839,continuou,788
522,futuro,788
683,cá,786
527,plano,786
1773,pena,785
376,dr,784
399,tinha,784
4836,s,783
1789,pôde,782
1035,poder,782
2669,ministro,780
716,dava,779
1335,primeiros,777
62430,gilliatt,776
279,velha,776
2842,cerca,775
760,boca,775
3010,caminho,771
4774,conta,769
1305,via,768
2349,vontade,767
2464,princípio,764
884,corpo,763
3596,tais,761
1087,resto,759
1238,também,752
1117,passo,751
2110,cena,750
2184,final,744
773,versos,742
1053,passar,741
1076,sociedade,740
1154,só,740
772,sabia,740
117,ler,734
392,guerra,734
2746,contrário,733
1752,ordem,733
404,filhos,732
1095,carro,730
182,quarto,728
629,vinha,726
1271,meia,725
99,questão,724
2826,moço,724
14069,após,723
607,certa,722
6433,acordo,721
262,brasileira,721
789,quê,718
69,ação,715
8701,banco,714
2916,ouvir,712
1916,janela,711
6952,polícia,705
696,ela,704
1648,sentimento,702
1579,maneira,701
2157,amanhã,701
4319,carlos,699
2518,fundo,698
59698,rubião,696
230,assunto,694
2012,ato,693
6582,fato,692
3308,partir,691
6643,jogo,686
1018,espécie,685
2373,viagem,684
2554,acabou,683
1425,motivo,682
1980,ouviu,678
1744,cartas,674
907,único,671
1810,livros,670
1475,música,669
1608,lágrimas,668
158,nesse,667
11541,local,666
3659,bela,665
6955,povo,664
1413,esperança,664
3632,sistema,663
1,contos,663
2678,desejo,661
1513,feliz,661
342,felicidade,659
1623,idade,656
